time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450150000	15.2348	20.196	4.94482	2.65633	0.460016	radar	5.47606	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0562	20.3234	4.88911	2.66638	0.44605	lidar	1.87014	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8234	20.405	4.88918	2.70759	0.47983	radar	2.24899	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6106	20.5235	4.89206	2.72347	0.470628	lidar	0.557099	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3685	20.6135	4.93176	2.76203	0.505464	radar	1.2214	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1228	20.6843	4.94213	2.79611	0.515336	lidar	0.719549	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8823	20.758	4.96174	2.83244	0.540361	radar	0.282686	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6027	20.8211	5.03433	2.86866	0.549772	lidar	1.49856	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3515	20.8538	5.05284	2.92382	0.609625	radar	1.97288	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1112	20.8878	5.02444	2.95985	0.616492	lidar	0.19492	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8798	20.9484	4.99799	2.97852	0.596357	radar	1.8736	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6976	20.9825	4.86697	3.00453	0.595183	lidar	2.12196	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4409	21.0262	4.91062	3.0305	0.591173	radar	2.52115	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1948	21.0623	4.92271	3.05527	0.585272	lidar	0.131918	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
